#k-distance eigenvalue[eV]
3.76936509 -11.81790000

0.00000000 -6.87060000
0.05237690 -6.81600000
0.10475379 -6.66050000
0.15713069 -6.42400000
0.20950759 -6.12620000
0.26188448 -5.78250000
0.31426138 -5.40360000
0.36663827 -4.99650000
0.41901517 -4.56650000
0.47139207 -4.11760000
0.52376894 -3.65290000
0.57614584 -3.17590000
0.62852274 -2.69000000
0.68089963 -2.19980000
0.73327653 -1.71160000
0.78565342 -1.23480000
0.83803032 -0.78570000
0.89040722 -0.39310000
0.94278411 -0.10800000
0.99516101 0.00000000
0.99516101 0.00000000
1.05564064 -0.08520000
1.11612027 -0.31680000
1.17659990 -0.64710000
1.23707953 -1.03640000
1.29755916 -1.45980000
1.35803879 -1.90300000
1.41851842 -2.35790000
1.47899805 -2.81950000
1.53947768 -3.28490000
1.59995729 -3.75170000
1.66043692 -4.21810000
1.72091655 -4.68270000
1.78139618 -5.14370000
1.84187581 -5.59970000
1.90235544 -6.04900000
1.96283507 -6.49000000
2.02331470 -6.92110000
2.08379433 -7.34080000
2.14427396 -7.74770000
2.14427396 -7.74770000
2.16565673 -7.74610000
2.18703952 -7.74120000
2.20842229 -7.73310000
2.22980508 -7.72180000
2.25118785 -7.70720000
2.27257063 -7.68940000
2.29395340 -7.66840000
2.31533619 -7.64410000
2.33671896 -7.61670000
2.35810175 -7.58600000
2.37948452 -7.55200000
2.40086730 -7.51490000
2.42225007 -7.47450000
2.44363286 -7.43100000
2.46501563 -7.38420000
2.48639842 -7.33420000
2.50778119 -7.28100000
2.52916397 -7.22470000
2.55054674 -7.16510000
2.55054674 -7.16510000
2.61469507 -6.96750000
2.67884341 -6.74140000
2.74299174 -6.48710000
2.80714008 -6.20490000
2.87128841 -5.89520000
2.93543675 -5.55830000
2.99958508 -5.19480000
3.06373341 -4.80520000
3.12788175 -4.39030000
3.19203008 -3.95120000
3.25617842 -3.48920000
3.32032675 -3.00650000
3.38447508 -2.50590000
3.44862342 -1.99230000
3.51277175 -1.47400000
3.57692009 -0.96650000
3.64106842 -0.50100000
3.70521676 -0.14270000
3.76936509 0.00000000

0.00000000 -1.17880000
0.05237690 -1.17390000
0.10475379 -1.15910000
0.15713069 -1.13460000
0.20950759 -1.10020000
0.26188448 -1.05620000
0.31426138 -1.00270000
0.36663827 -0.93990000
0.41901517 -0.86820000
0.47139207 -0.78820000
0.52376894 -0.70070000
0.57614584 -0.60680000
0.62852274 -0.50820000
0.68089963 -0.40720000
0.73327653 -0.30700000
0.78565342 -0.21180000
0.83803032 -0.12720000
0.89040722 -0.05950000
0.94278411 -0.01540000
0.99516101 0.00000000
0.99516101 0.00000000
1.05564064 -0.05040000
1.11612027 -0.18760000
1.17659990 -0.38250000
1.23707953 -0.60840000
1.29755916 -0.84700000
1.35803879 -1.08660000
1.41851842 -1.31990000
1.47899805 -1.54240000
1.53947768 -1.75100000
1.59995729 -1.94350000
1.66043692 -2.11840000
1.72091655 -2.27460000
1.78139618 -2.41120000
1.84187581 -2.52770000
1.90235544 -2.62360000
1.96283507 -2.69850000
2.02331470 -2.75220000
2.08379433 -2.78450000
2.14427396 -2.79520000
2.14427396 -2.79520000
2.16565673 -2.80540000
2.18703952 -2.83520000
2.20842229 -2.88310000
2.22980508 -2.94660000
2.25118785 -3.02300000
2.27257063 -3.10920000
2.29395340 -3.20250000
2.31533619 -3.30040000
2.33671896 -3.40060000
2.35810175 -3.50110000
2.37948452 -3.60020000
2.40086730 -3.69640000
2.42225007 -3.78840000
2.44363286 -3.87520000
2.46501563 -3.95570000
2.48639842 -4.02930000
2.50778119 -4.09530000
2.52916397 -4.15310000
2.55054674 -4.20250000
2.55054674 -4.20250000
2.61469507 -4.29800000
2.67884341 -4.31520000
2.74299174 -4.26020000
2.80714008 -4.14200000
2.87128841 -3.96990000
2.93543675 -3.75220000
2.99958508 -3.49590000
3.06373341 -3.20710000
3.12788175 -2.89110000
3.19203008 -2.55330000
3.25617842 -2.19900000
3.32032675 -1.83470000
3.38447508 -1.46780000
3.44862342 -1.10810000
3.51277175 -0.76820000
3.57692009 -0.46500000
3.64106842 -0.21970000
3.70521676 -0.05730000
3.76936509 0.00000000

0.00000000 -1.17880000
0.05237690 -1.17390000
0.10475379 -1.15910000
0.15713069 -1.13460000
0.20950759 -1.10020000
